Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
24.6263,5.9310,61.49,119.00,0.006724
24.7020,5.9310,62.03,119.00,0.006684
24.7782,5.9310,62.30,119.00,0.006659
24.8489,5.9310,61.76,119.00,0.006605
24.9234,5.9310,62.03,119.00,0.006396
24.9988,5.9310,62.03,119.00,0.006327
25.0735,5.9310,61.49,119.00,0.007061
25.1450,5.9310,62.03,118.00,0.006804
25.2184,5.9310,62.03,118.50,0.006807
25.2952,5.9310,62.03,118.50,0.007059
25.3698,5.9310,61.76,118.00,0.007203
25.4463,5.9310,61.76,118.00,0.006940
25.5218,5.9310,61.49,118.00,0.006596
25.5928,5.9310,62.30,118.00,0.006400
25.6668,5.9310,62.03,118.00,0.006757
25.7420,5.9310,61.49,118.00,0.006644
25.8185,5.9010,61.76,118.00,0.006971
25.8902,5.9010,61.49,118.00,0.006842
25.9659,5.9010,61.76,118.00,0.006805
26.0381,5.9010,62.03,118.00,0.006792
26.1165,5.9010,62.30,118.00,0.006695
26.1880,5.9010,62.30,118.00,0.006379
26.2628,5.9010,62.03,118.00,0.006551
26.3338,5.9010,61.49,118.00,0.006679
26.4104,5.9010,62.03,118.00,0.007267
26.4864,5.9010,62.03,118.00,0.006904
26.5622,5.9275,62.30,118.00,0.007114
26.6382,5.9540,62.03,118.00,0.006766
26.7148,5.9540,62.03,118.00,0.007149
26.7906,5.9540,61.49,118.00,0.006982
26.8651,5.9540,61.76,118.00,0.007026
26.9371,5.9540,62.03,118.00,0.006957
27.0128,5.9540,61.76,118.00,0.006810
27.0867,5.9540,62.03,118.00,0.006977
27.1637,5.9540,61.76,118.00,0.006723
27.2379,5.9540,61.76,118.00,0.006939
27.3166,5.9540,62.03,118.00,0.007176
27.3897,5.9540,61.76,118.00,0.006370
27.4622,5.9540,62.03,118.00,0.006566
27.5326,5.9540,61.49,118.00,0.006423
27.6056,5.9540,62.30,118.00,0.006677
27.6817,5.9510,62.03,118.00,0.006662
27.7579,5.9510,62.03,118.00,0.006650
27.8302,5.9510,62.03,118.00,0.007002
27.9057,5.9510,62.03,118.00,0.006394
27.9761,5.9510,62.03,118.00,0.006429
28.0487,5.9510,62.30,118.00,0.006582
28.1188,5.9510,62.03,118.00,0.006293
28.1945,5.9510,61.76,118.00,0.006802
28.2688,5.9510,61.76,118.00,0.006915
28.3423,5.9510,61.76,118.00,0.006541
28.4137,5.9510,62.03,118.00,0.006667
28.4897,5.9510,61.76,118.00,0.006452
28.5647,6.0040,62.03,118.00,0.006935
28.6390,6.0040,62.30,118.00,0.006880
28.7137,6.0040,62.30,118.00,0.007078
28.7909,6.0040,62.30,118.00,0.007165
28.8654,6.0040,62.03,118.00,0.006920
28.9445,6.0040,62.03,118.00,0.007050
29.0191,6.0040,61.49,118.00,0.006837
29.0956,6.0040,61.49,118.00,0.006832
29.1673,6.0040,62.03,118.00,0.006608
29.2412,6.0040,62.03,118.00,0.006333
29.3129,6.0040,62.03,118.00,0.006730
29.3860,6.0040,61.76,118.00,0.006433
29.4569,6.0040,61.76,118.00,0.006406
29.5300,6.0040,62.03,118.00,0.006858
29.6014,5.9925,61.49,118.00,0.006951
29.6791,5.9810,61.76,117.50,0.006887
29.7529,5.9810,61.76,117.00,0.006658
29.8260,5.9810,62.03,117.00,0.006561
29.8970,5.9810,62.03,118.00,0.006369
29.9735,5.9810,62.03,118.00,0.006974
30.0477,5.9810,62.03,118.00,0.006835
30.1264,5.9810,61.49,118.00,0.007070
30.1985,5.9810,61.76,118.00,0.007072
30.2767,5.9810,61.49,118.00,0.006986
30.3505,5.9810,61.49,118.00,0.006863
30.4253,5.9810,62.03,118.00,0.006654
30.4969,5.9810,61.49,118.00,0.006848
30.5744,5.9660,62.30,118.00,0.007116
30.6490,5.9660,62.03,118.00,0.006975
30.7230,5.9660,61.76,118.00,0.006378
30.7947,5.9660,61.76,118.00,0.006373
30.8724,5.9660,61.76,118.00,0.006717
30.9456,5.9660,62.03,118.00,0.006524
31.0245,5.9660,62.03,118.00,0.006784
31.0985,5.9660,61.49,118.00,0.006918
31.1750,5.9660,61.76,118.00,0.006892
31.2475,5.9660,62.30,118.00,0.007052
31.3221,5.9660,61.76,118.00,0.006962
31.3967,5.9660,62.03,118.00,0.006597
31.4738,5.9660,62.30,118.00,0.006780
31.5463,5.9640,62.30,118.00,0.006949
31.6252,5.9620,62.30,117.00,0.007053
31.6976,5.9620,61.76,117.00,0.007138
31.7745,5.9620,62.30,117.00,0.007136
31.8490,5.9620,62.30,118.00,0.007042
31.9220,5.9620,61.76,118.00,0.006521
31.9930,5.9620,62.03,118.00,0.006425
32.0690,5.9620,61.76,118.00,0.006859
32.1411,5.9620,61.76,118.00,0.007257
32.2170,5.9620,62.03,118.00,0.006687
32.2884,5.9620,61.76,118.00,0.006659
32.3670,5.9620,62.03,117.00,0.006948
32.4428,5.9620,61.76,117.00,0.006699
32.5167,5.9620,62.03,117.50,0.006686
32.5873,5.9350,62.30,117.00,0.006258
32.6623,5.9350,62.03,117.00,0.006579
32.7332,5.9350,61.49,117.00,0.006639
32.8068,5.9350,61.76,117.00,0.006413
32.8823,5.9350,61.76,117.00,0.006756
32.9573,5.9350,62.30,117.00,0.006458
33.0284,5.9350,62.03,117.50,0.006848
33.1016,5.9350,62.03,117.00,0.006761
33.1731,5.9350,61.76,117.00,0.006947
33.2472,5.9350,62.03,117.00,0.006750
33.3192,5.9350,62.30,117.00,0.006829
33.3953,5.9350,62.30,117.00,0.006713
33.4700,5.9350,61.76,117.00,0.006623
33.5425,5.9350,62.03,117.00,0.006330
33.6189,5.9350,62.03,117.00,0.006731
33.6929,5.9730,62.03,117.00,0.006315
33.7654,5.9730,61.76,117.00,0.006598
33.8381,5.9730,61.76,117.00,0.006384
33.9088,5.9730,62.30,117.00,0.006261
33.9811,5.9730,61.76,117.00,0.006343
34.0517,5.9730,62.30,117.00,0.006423
