Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
27.8433,6.6220,50.00,298.00,0.020052
27.8967,6.6220,50.25,298.00,0.019159
27.9494,6.6220,50.12,297.50,0.018889
28.0032,6.6220,50.12,297.50,0.019461
28.0586,6.6220,50.12,297.00,0.019521
28.1136,6.6220,50.25,297.50,0.020012
28.1680,6.6220,50.50,297.50,0.020060
28.2228,6.6220,50.00,298.00,0.019834
28.2767,6.6220,50.12,298.00,0.018833
28.3291,6.6220,50.25,298.00,0.018963
28.3839,6.6220,50.12,297.50,0.020786
28.4374,6.6220,50.50,297.00,0.019303
28.4943,6.6220,50.50,297.00,0.020177
28.5475,6.6220,50.50,297.00,0.019871
28.6005,6.6220,50.38,297.00,0.019112
28.6525,6.6220,50.12,297.50,0.019205
28.7066,6.6220,50.50,297.50,0.020346
28.7598,6.6220,50.50,297.00,0.019759
28.8170,6.5800,50.38,297.00,0.020805
28.8717,6.5800,50.50,297.00,0.019713
28.9274,6.5800,50.12,297.00,0.019943
28.9815,6.5800,50.00,297.50,0.019078
29.0348,6.5800,50.12,298.00,0.019717
29.0873,6.5800,50.25,298.00,0.019926
29.1430,6.5800,50.00,298.00,0.019798
29.1975,6.5800,50.12,298.00,0.020089
29.2523,6.5800,50.25,298.00,0.019184
29.3071,6.5800,50.38,297.50,0.019981
29.3629,6.5800,50.25,297.00,0.019942
29.4180,6.5800,50.38,297.00,0.020251
29.4728,6.5800,50.50,297.00,0.018924
29.5266,6.5800,50.50,297.00,0.019126
29.5815,6.5800,50.50,297.00,0.018973
29.6356,6.5800,50.50,296.50,0.019402
29.6925,6.5800,50.12,297.00,0.020878
29.7455,6.5800,50.38,297.00,0.020091
29.7998,6.5800,50.38,297.00,0.020876
29.8530,6.6410,50.50,297.00,0.019032
29.9098,6.6410,50.62,297.00,0.021147
29.9635,6.6410,50.50,297.00,0.020715
30.0156,6.6410,50.50,297.00,0.018826
30.0682,6.6410,50.62,297.00,0.018799
30.1240,6.6410,50.50,297.00,0.020900
30.1775,6.6410,50.62,297.00,0.020418
30.2525,6.6410,50.25,296.50,0.039352
30.3099,6.6410,50.50,296.00,0.020062
30.3651,6.6410,50.50,296.00,0.020044
30.4203,6.6410,50.38,296.00,0.020577
30.4764,6.6410,50.62,296.00,0.020085
