time	power_W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
16.342	5.473	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	41.00
16.544	5.473	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	41.00
16.745	5.466	0.0500	0.0500	0.0000	0.0000	1.0000	0.0000	0.0480	0.0000	53.00	43.00	44.00	41.00
16.947	5.466	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	44.00	41.00
17.149	5.466	0.0910	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0480	53.00	43.00	45.00	41.00
17.351	5.466	0.0000	0.0000	0.0000	0.0480	1.0000	0.0500	0.0000	0.0000	53.00	43.00	45.00	41.00
17.552	5.466	0.0500	0.0500	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	44.00	41.00
17.754	5.466	0.0000	0.0000	0.0000	0.0000	1.0000	0.0480	0.0000	0.0000	53.00	43.00	45.00	41.00
17.956	5.447	0.0950	0.0000	0.0000	0.0000	1.0000	0.0480	0.0000	0.0480	53.00	43.00	44.00	41.00
18.157	5.447	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0480	0.0000	53.00	43.00	44.00	41.00
18.359	5.447	0.0950	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	44.00	41.00
18.561	5.447	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0480	53.00	43.00	45.00	41.00
18.762	5.428	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0480	53.00	43.00	45.00	41.00
18.964	5.428	0.0950	0.0000	0.0000	0.0000	1.0000	0.0500	0.0000	0.0000	53.00	43.00	45.00	41.00
19.166	5.428	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	44.00	41.00
19.368	5.428	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	41.00
19.569	5.428	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	44.00	41.00
19.771	5.443	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	41.00
19.973	5.443	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	41.00
20.175	5.443	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	41.00
20.376	5.443	0.0500	0.0000	0.0000	0.0500	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	41.00
20.578	5.443	0.0480	0.0000	0.0000	0.0000	1.0000	0.0480	0.0000	0.0000	53.00	43.00	45.00	41.00
20.779	5.462	0.0530	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
20.981	5.462	0.0480	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	41.00
21.183	5.462	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
