Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
19.4955,5.8090,61.22,126.00,0.030014
19.5999,5.8090,61.22,126.00,0.030399
19.7004,5.8090,61.22,126.00,0.030681
19.8022,5.8740,61.22,126.00,0.029840
19.9067,5.9390,61.22,126.50,0.030234
20.0116,5.9390,61.49,127.00,0.030826
20.1163,5.9390,61.22,127.00,0.029918
20.2156,5.9390,61.22,127.00,0.029284
20.3191,5.9390,61.49,127.00,0.029808
20.4256,5.9390,61.22,127.00,0.031647
20.5336,5.9390,61.49,127.00,0.031324
20.6408,5.9390,61.22,127.00,0.031299
20.7479,5.9390,61.49,127.00,0.031576
20.8540,5.8050,61.22,127.00,0.031025
20.9624,5.8050,61.49,127.00,0.031525
21.0689,5.8050,61.49,127.00,0.029824
21.1683,5.8050,61.22,127.00,0.030156
21.2666,5.8050,61.22,127.00,0.030146
21.3707,5.8050,60.95,127.00,0.029884
21.4701,5.8050,61.22,127.00,0.030277
21.5715,5.8050,61.22,127.00,0.030440
21.6757,5.8050,61.22,127.00,0.030424
21.7797,5.8050,61.49,127.00,0.030522
21.8815,5.9050,61.22,127.00,0.029737
21.9794,5.9050,61.22,127.00,0.030151
22.0822,5.9050,60.95,127.00,0.029411
22.1822,5.9050,61.49,127.00,0.029616
22.2799,5.9050,61.22,127.00,0.030312
22.3783,5.9050,61.49,127.00,0.029999
22.4775,5.9050,61.76,127.00,0.030052
22.5763,5.9050,62.03,127.00,0.029941
22.6751,5.9050,61.22,127.00,0.029505
22.7742,5.9050,61.22,127.00,0.029870
22.8739,5.9200,61.22,127.00,0.029724
22.9752,5.9200,62.03,127.00,0.029521
23.0764,5.9200,61.22,127.00,0.029732
23.1755,5.9200,61.22,127.00,0.030338
23.2768,5.9200,61.22,127.00,0.030364
23.3821,5.9200,61.76,127.00,0.030714
23.4789,5.9200,61.49,127.00,0.028713
23.5743,5.9200,61.22,127.00,0.028881
23.6764,5.9200,61.49,127.00,0.031063
23.7816,5.9200,61.22,127.00,0.030561
23.8865,5.9390,61.76,127.00,0.030545
23.9907,5.9390,61.22,127.00,0.029951
24.0952,5.9390,61.22,127.00,0.030211
24.1990,5.9390,61.49,127.00,0.030123
24.3002,5.9390,61.49,127.00,0.029753
24.4002,5.9390,61.22,127.00,0.030409
24.4978,5.9390,61.49,127.00,0.029867
24.5988,5.9390,61.49,127.00,0.029736
24.7022,5.9390,61.49,127.00,0.029868
24.8032,5.9370,61.22,127.00,0.029924
24.9033,5.9350,61.22,127.00,0.029746
25.0032,5.9350,61.76,127.00,0.030012
25.1041,5.9350,61.22,127.50,0.029832
25.2063,5.9350,61.49,128.00,0.029388
25.3040,5.9350,61.22,128.00,0.029850
25.4058,5.9350,61.49,128.00,0.029644
25.5066,5.9350,61.22,128.00,0.029260
25.6079,5.9350,61.22,128.00,0.029754
25.7073,5.9350,61.22,128.00,0.030107
25.8107,5.9065,61.76,128.00,0.030211
25.9121,5.8780,61.49,128.00,0.029608
26.0142,5.8780,61.22,128.00,0.029935
26.1143,5.8780,61.22,128.00,0.029718
26.2168,5.8780,61.22,128.00,0.028987
26.3184,5.8780,61.76,128.00,0.029619
26.4203,5.8780,61.22,128.00,0.030180
26.5239,5.8780,61.49,128.00,0.029593
26.6230,5.8780,61.76,128.00,0.029708
26.7270,5.8780,61.22,128.00,0.029781
26.8259,5.9350,61.49,128.00,0.029713
26.9243,5.9920,61.76,128.00,0.030238
27.0269,5.9920,61.49,128.00,0.030082
27.1265,5.9920,61.49,128.00,0.030442
27.2256,5.9920,61.22,128.00,0.030352
27.3274,5.9920,61.49,128.00,0.030091
27.4284,5.9920,61.22,128.00,0.029945
27.5279,5.9920,61.22,128.00,0.029695
27.6278,5.9920,61.49,128.00,0.030285
27.7271,5.9920,61.49,128.00,0.029415
27.8275,5.9980,61.22,128.00,0.029661
27.9298,6.0040,61.76,128.00,0.029893
28.0304,6.0040,61.22,128.00,0.029906
28.1348,6.0040,61.49,128.00,0.030309
28.2360,6.0040,61.49,128.00,0.029808
28.3339,6.0040,61.49,128.00,0.028410
28.4283,6.0040,61.49,128.00,0.028462
28.5264,6.0040,61.22,128.00,0.029251
28.6228,6.0040,61.22,128.00,0.029779
28.7240,6.0040,61.22,128.00,0.030345
28.8232,5.9870,62.03,128.00,0.030163
28.9277,5.9700,61.76,128.00,0.030439
29.0281,5.9700,61.22,128.00,0.030527
29.1308,5.9700,61.76,128.00,0.029578
29.2320,5.9700,61.49,128.00,0.029828
29.3341,5.9700,61.49,128.00,0.030096
29.4319,5.9700,61.76,128.00,0.029803
29.5351,5.9700,61.49,128.00,0.029649
29.6356,5.9700,61.76,128.00,0.029877
29.7389,5.9700,61.49,128.00,0.029890
29.8400,5.9355,62.03,128.00,0.030428
29.9409,5.9010,61.76,128.00,0.030449
30.0379,5.9010,61.49,128.00,0.029750
30.1397,5.9010,61.49,128.00,0.029528
30.2400,5.9010,61.22,128.00,0.029792
30.3373,5.9010,61.22,128.00,0.029822
30.4386,5.9010,61.22,128.00,0.029907
30.5397,5.9010,61.49,128.00,0.030225
30.6390,5.9010,61.76,128.00,0.030616
30.7427,5.9010,61.76,128.00,0.029990
30.8465,5.9370,61.76,128.00,0.030250
30.9516,5.9730,61.49,128.00,0.030345
31.0519,5.9730,61.76,128.00,0.029919
31.1509,5.9730,61.49,128.00,0.029738
31.2495,5.9730,61.49,128.00,0.028456
31.3450,5.9730,61.22,128.00,0.028887
31.4444,5.9730,61.49,128.00,0.029721
31.5423,5.9730,61.49,128.00,0.029644
31.6469,5.9730,61.76,128.00,0.029896
31.7479,5.9730,61.22,127.50,0.029808
31.8513,5.9425,61.76,127.50,0.030178
31.9547,5.9120,61.49,127.00,0.029722
32.0557,5.9120,61.49,127.00,0.029574
32.1512,5.9120,61.49,127.00,0.028378
