Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
23.6201,6.7900,55.31,154.00,0.047182
23.7364,6.7900,55.84,154.00,0.045758
23.8522,6.7900,55.04,154.00,0.045832
23.9685,6.8090,55.58,154.00,0.046071
24.0850,6.8280,55.84,154.00,0.045985
24.2022,6.8280,55.31,154.00,0.047096
24.3191,6.8280,55.58,154.00,0.046475
24.4356,6.8280,55.84,154.00,0.046402
24.5518,6.8280,55.58,154.00,0.046431
24.6667,6.8280,55.84,154.00,0.045381
24.7819,6.8280,55.58,154.00,0.045257
24.8945,6.8280,55.31,154.00,0.042842
25.0072,6.8280,55.31,154.00,0.044044
25.1232,6.8165,55.84,154.00,0.046648
25.2408,6.8050,55.31,154.00,0.046726
25.3577,6.8050,55.58,154.00,0.046911
25.4736,6.8050,55.84,154.00,0.046218
25.5886,6.8050,55.58,154.00,0.045523
25.7053,6.8050,55.84,154.00,0.046839
25.8218,6.8050,55.31,154.00,0.046353
25.9396,6.8395,55.84,154.00,0.047639
26.0567,6.8740,55.31,154.00,0.046473
26.1691,6.8740,55.84,154.00,0.042895
26.2811,6.8740,55.84,154.00,0.042947
26.3953,6.8740,55.31,154.00,0.045136
26.5111,6.8740,55.84,154.00,0.045745
26.6268,6.8740,55.84,154.00,0.045794
26.7428,6.8740,55.84,154.00,0.046254
26.8592,6.8740,55.58,154.00,0.046854
26.9755,6.8510,55.04,154.00,0.046335
27.0929,6.8280,55.58,154.00,0.047077
27.2096,6.8280,55.84,154.00,0.046480
27.3260,6.8280,55.58,154.00,0.046059
27.4416,6.8280,55.58,154.00,0.045781
27.5576,6.8280,55.84,154.00,0.046364
27.6724,6.8280,55.31,154.00,0.045200
27.7907,6.8280,55.84,154.00,0.046070
27.9056,6.8280,55.84,154.00,0.045270
28.0222,6.6680,55.58,154.00,0.045965
28.1369,6.6680,55.31,154.00,0.044806
28.2531,6.6680,55.84,154.00,0.045796
28.3683,6.6680,56.11,154.00,0.045878
28.4846,6.6680,55.31,154.00,0.046098
28.5994,6.6680,55.84,154.00,0.045000
28.7161,6.6680,55.58,154.00,0.046212
28.8315,6.6680,55.84,154.00,0.045722
28.9493,6.7195,55.58,154.00,0.047235
29.0656,6.7710,56.11,154.00,0.045866
29.1806,6.7710,55.84,154.00,0.045529
29.2966,6.7710,56.11,154.00,0.045929
29.4133,6.7710,55.84,154.00,0.046684
29.5293,6.7710,55.58,154.00,0.046132
29.6457,6.7710,55.84,154.00,0.046364
29.7625,6.7710,55.58,154.00,0.046358
29.8788,6.7710,55.58,154.00,0.046338
29.9959,6.8050,55.84,154.00,0.046374
30.1121,6.8050,55.84,154.00,0.045641
30.2262,6.8050,55.58,154.00,0.044176
30.3411,6.8050,55.84,154.00,0.045465
30.4573,6.8050,55.84,154.00,0.046565
30.5739,6.8050,55.84,154.00,0.046273
30.6903,6.8050,55.84,154.00,0.046412
30.8069,6.8050,55.58,154.00,0.046211
30.9227,6.8090,55.84,154.00,0.045902
31.0402,6.8130,55.84,154.00,0.046858
31.1570,6.8130,56.11,154.00,0.046692
31.2738,6.8130,56.11,154.00,0.046489
31.3901,6.8130,55.84,154.00,0.046363
31.5068,6.8130,56.11,154.00,0.046370
31.6224,6.8130,55.84,154.00,0.045544
31.7405,6.8130,55.84,154.00,0.045290
31.8573,6.8130,56.11,154.00,0.046100
31.9771,6.7785,55.58,154.00,0.046926
32.0934,6.7440,55.84,154.00,0.045818
32.2105,6.7440,55.84,154.00,0.047460
32.3272,6.7440,55.84,154.00,0.046381
32.4433,6.7440,56.11,154.00,0.045933
32.5601,6.7440,55.31,154.00,0.046401
32.6768,6.7440,55.58,154.00,0.046477
32.7933,6.7440,55.84,154.00,0.046579
32.9099,6.7440,56.11,154.00,0.046408
33.0270,6.7520,55.84,154.00,0.046271
33.1435,6.7520,55.84,154.00,0.046374
33.2600,6.7520,55.84,154.00,0.046012
33.3763,6.7520,55.84,154.00,0.046277
33.4929,6.7520,55.84,154.00,0.046604
33.6083,6.7520,56.11,154.00,0.045182
33.7249,6.7520,56.11,154.00,0.046579
33.8411,6.7520,55.84,154.00,0.046207
33.9575,6.7825,56.11,154.00,0.045934
34.0767,6.8130,56.11,154.00,0.046503
34.1930,6.8130,55.84,154.00,0.046151
34.3099,6.8130,55.84,154.00,0.046298
34.4268,6.8130,55.84,154.00,0.046361
34.5433,6.8130,55.84,153.50,0.046467
34.6597,6.8130,55.84,153.50,0.046262
34.7773,6.8130,56.38,154.00,0.047232
34.8936,6.8130,55.84,154.00,0.046334
35.0101,6.7830,55.84,154.00,0.046034
35.1261,6.7830,55.84,154.00,0.046321
35.2432,6.7830,55.84,154.00,0.046602
35.3607,6.7830,55.84,154.00,0.047253
35.4771,6.7830,55.84,154.00,0.046232
35.5933,6.7830,55.84,154.00,0.046181
35.7101,6.7830,55.84,154.00,0.046742
35.8269,6.7830,56.11,154.00,0.046120
35.9439,6.7865,56.11,154.00,0.046560
36.0615,6.7900,55.84,154.00,0.047007
36.1793,6.7900,56.38,154.00,0.047122
36.2942,6.7900,55.84,154.00,0.044071
36.4065,6.7900,56.11,154.00,0.043241
36.5195,6.7900,55.84,154.00,0.043824
36.6361,6.7900,56.38,154.00,0.046369
36.7475,6.7900,56.11,154.00,0.042495
36.8619,6.7900,55.84,154.00,0.044788
36.9792,6.8225,55.84,154.00,0.046981
37.0964,6.8550,55.84,154.00,0.046576
37.2152,6.8550,55.84,154.00,0.048938
37.3328,6.8550,56.11,154.00,0.047868
37.4516,6.8550,56.11,154.00,0.048314
37.5677,6.8550,56.11,154.00,0.045891
37.6848,6.8550,56.11,154.00,0.046707
37.8022,6.8550,56.11,154.00,0.047362
37.9187,6.8625,55.84,154.00,0.046210
38.0356,6.8700,56.38,154.00,0.046293
38.1513,6.8700,56.38,154.00,0.045715
38.2675,6.8700,55.84,154.00,0.045800
38.3842,6.8700,55.84,154.00,0.046342
38.5005,6.8700,56.11,154.00,0.046372
38.6168,6.8700,55.84,154.00,0.046354
38.7332,6.8700,56.11,154.00,0.046090
38.8492,6.8700,56.38,154.00,0.046118
38.9664,6.8435,56.38,154.00,0.047201
39.0823,6.8170,56.38,154.00,0.045633
39.2008,6.8170,55.84,154.00,0.046154
39.3168,6.8170,56.38,154.00,0.045221
39.4335,6.8170,56.11,154.00,0.046427
39.5490,6.8170,55.84,154.00,0.045704
39.6665,6.8170,56.11,154.00,0.047143
39.7828,6.8170,56.38,154.00,0.045969
39.9000,6.8170,56.11,154.00,0.046864
40.0163,6.7860,56.11,154.00,0.045504
40.1326,6.7860,55.84,154.00,0.045669
40.2488,6.7860,56.11,154.00,0.045415
40.3650,6.7860,56.11,154.00,0.046256
40.4811,6.7860,56.38,153.50,0.045754
40.5983,6.7860,55.84,154.00,0.046095
