Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
20.8383,5.8130,61.49,120.00,0.018446
20.9317,5.8130,61.49,120.00,0.018019
21.0244,5.8130,61.76,120.00,0.018499
21.1154,5.8130,62.03,120.00,0.018390
21.2020,5.8130,61.76,120.00,0.017756
21.2907,5.8130,61.49,120.00,0.016946
21.3735,5.8130,61.22,120.00,0.016639
21.4585,5.8130,62.30,120.00,0.016748
21.5470,5.8415,62.03,120.00,0.018377
21.6384,5.8700,61.49,120.00,0.018172
21.7271,5.8700,61.76,120.00,0.018256
21.8200,5.8700,61.22,120.00,0.017525
21.9099,5.8700,61.76,120.00,0.017686
22.0007,5.8700,62.03,120.00,0.018178
22.0900,5.8700,61.76,120.00,0.017529
22.1746,5.8700,62.03,120.00,0.017511
22.2574,5.8700,61.76,120.00,0.017042
22.3429,5.8700,61.76,120.00,0.017658
22.4251,5.8700,62.03,120.00,0.017122
22.5126,5.9180,61.49,120.00,0.017236
22.5986,5.9660,61.49,120.00,0.017717
22.6862,5.9660,62.03,120.00,0.017360
22.7720,5.9660,61.49,120.00,0.017696
22.8574,5.9660,61.49,120.00,0.017237
22.9433,5.9660,61.49,120.00,0.017619
23.0278,5.9660,61.49,120.00,0.017873
23.1111,5.9660,62.30,120.00,0.017385
23.1982,5.9660,62.30,120.00,0.017497
23.2815,5.9660,61.76,120.00,0.017556
23.3658,5.9660,61.49,120.00,0.017606
23.4508,5.9660,61.49,120.00,0.017273
23.5382,5.9790,61.76,120.00,0.017710
23.6226,5.9920,61.49,120.00,0.017802
23.7057,5.9920,61.22,120.00,0.016615
23.7864,5.9920,61.76,120.00,0.016206
23.8700,5.9920,61.76,120.00,0.016898
23.9547,5.9920,62.30,120.00,0.017678
24.0394,5.9920,61.49,120.00,0.017543
24.1245,5.9920,62.03,120.00,0.017064
24.2101,5.9920,61.49,120.00,0.017546
24.2911,5.9920,61.49,120.00,0.016160
24.3746,5.9920,62.30,120.00,0.016916
24.4577,5.9920,61.49,120.00,0.017669
24.5470,5.9920,62.03,120.00,0.017797
24.6299,5.9920,61.76,120.00,0.017483
24.7136,5.9920,61.76,120.00,0.016864
24.7980,5.9920,61.49,120.00,0.016653
24.8814,5.9920,61.49,120.00,0.016999
24.9667,5.9920,62.03,120.00,0.017796
25.0539,5.9920,62.03,120.00,0.017033
25.1382,5.9920,61.76,120.00,0.016975
25.2249,5.9920,62.03,120.00,0.017382
25.3105,5.9920,62.03,120.00,0.017444
25.3940,5.9920,62.03,120.00,0.016457
25.4776,5.9920,62.03,120.00,0.016720
25.5605,5.9920,62.03,120.00,0.016691
25.6444,5.9920,61.76,120.00,0.016812
25.7322,5.9510,61.76,120.00,0.017426
25.8196,5.9510,61.76,120.00,0.017229
25.9085,5.9510,61.49,120.00,0.017030
25.9921,5.9510,62.03,120.00,0.017668
26.0797,5.9510,62.30,120.00,0.017493
26.1671,5.9510,61.76,120.00,0.017520
26.2541,5.9510,61.76,120.00,0.017324
26.3373,5.9510,61.76,120.00,0.017313
26.4216,5.9510,61.49,120.00,0.016835
26.5058,5.9870,61.49,120.00,0.017882
26.5903,6.0230,62.03,120.00,0.016564
26.6716,6.0230,61.49,120.00,0.016613
26.7580,6.0230,61.49,120.00,0.017411
26.8396,6.0230,62.03,120.00,0.016706
26.9270,6.0230,61.76,120.00,0.016828
27.0126,6.0230,61.76,120.00,0.017677
27.0973,6.0230,61.49,120.00,0.016877
27.1823,6.0230,61.49,120.00,0.017199
27.2669,6.0230,62.30,120.00,0.017291
27.3503,6.0230,62.03,120.00,0.017561
27.4381,6.0230,61.76,120.00,0.016736
27.5218,5.9675,61.76,120.00,0.017321
27.6093,5.9120,62.30,120.00,0.017190
27.6939,5.9120,61.76,120.00,0.017053
27.7788,5.9120,62.03,120.00,0.017516
27.8621,5.9120,61.76,120.00,0.017375
27.9473,5.9120,61.76,120.00,0.017213
28.0350,5.9120,62.03,120.00,0.017575
28.1203,5.9120,61.49,120.00,0.017261
28.2059,5.9120,61.49,120.00,0.017498
28.2934,5.9120,62.03,120.00,0.017903
28.3789,5.9120,61.49,120.00,0.017586
28.4648,5.9120,61.76,120.00,0.017307
28.5480,5.9105,62.30,120.00,0.017643
28.6339,5.9090,61.22,120.00,0.017814
28.7194,5.9090,62.03,120.00,0.017194
28.8071,5.9090,62.03,120.00,0.017440
28.8908,5.9090,61.76,120.00,0.017824
28.9760,5.9090,61.76,120.00,0.017397
29.0626,5.9090,62.30,120.00,0.017513
29.1509,5.9090,61.76,120.00,0.017910
29.2347,5.9090,61.49,120.00,0.017646
29.3219,5.9090,61.76,120.00,0.017426
29.4084,5.9090,62.03,120.00,0.018495
29.4975,5.9090,62.30,120.00,0.016998
29.5815,6.0340,61.76,120.00,0.017361
29.6698,6.0340,61.49,120.00,0.017977
29.7543,6.0340,61.76,120.00,0.017840
29.8392,6.0340,61.49,120.00,0.017228
29.9223,6.0340,61.49,120.00,0.017369
30.0063,6.0340,61.49,120.00,0.016634
30.0894,6.0340,62.03,119.50,0.017346
30.1786,6.0340,62.30,119.00,0.017398
30.2627,6.0340,61.76,119.00,0.017706
30.3502,6.0340,61.76,119.00,0.017409
30.4344,6.0340,62.03,119.00,0.018547
30.5220,5.9675,62.03,119.00,0.017090
30.6063,5.9010,61.49,119.00,0.017454
30.6946,5.9010,61.49,119.00,0.017462
30.7784,5.9010,62.30,119.00,0.017192
30.8646,5.9010,61.22,119.00,0.017029
30.9503,5.9010,61.49,119.00,0.017413
31.0352,5.9010,62.03,119.00,0.017269
31.1230,5.9010,61.22,119.00,0.016980
31.2113,5.9010,61.76,119.00,0.017830
31.2938,5.9010,61.49,119.00,0.016991
31.3836,5.9010,62.30,119.00,0.017220
31.4695,5.9010,61.49,119.00,0.016887
31.5572,5.9920,61.22,119.00,0.017081
31.6431,5.9920,61.49,119.00,0.016359
31.7270,5.9920,61.49,119.00,0.016940
31.8088,5.9920,61.49,119.00,0.016597
